weather_station_id,date,TMAX,TMIN,PRCP
MX000017004,2010-01-30,27.8,14.5,0.0
MX000017004,2010-02-02,27.3,14.4,0.0
MX000017004,2010-02-03,24.1,14.4,0.0
MX000017004,2010-02-11,29.7,13.4,0.0
MX000017004,2010-02-23,29.9,10.7,0.0
MX000017004,2010-03-05,32.1,14.2,0.0
MX000017004,2010-03-10,34.5,16.8,0.0
MX000017004,2010-03-16,31.1,17.6,0.0
MX000017004,2010-04-27,36.3,16.7,0.0
MX000017004,2010-05-27,33.2,18.2,0.0
MX000017004,2010-06-17,28.0,17.5,0.0
MX000017004,2010-06-29,30.1,18.0,0.0
MX000017004,2010-07-03,28.6,17.5,30.7
MX000017004,2010-07-14,29.9,16.5,0.0
MX000017004,2010-08-05,29.6,15.8,3.8
MX000017004,2010-08-08,29.0,17.3,23.9
MX000017004,2010-08-13,29.8,16.5,16.8
MX000017004,2010-08-23,26.4,15.0,0.0
MX000017004,2010-08-25,29.7,15.6,0.0
MX000017004,2010-08-29,28.0,15.3,18.8
MX000017004,2010-08-31,25.4,15.4,0.0
